1
                          **** CINEMATIQUE ****
 
78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        24.20          5.56         0.32        770.74
        24.30         32.23         0.79        744.07
        24.30          5.58         0.32        770.72
        24.40         32.11         0.79        744.19
        24.40          5.61         0.32        770.70
        24.50         31.98         0.80        744.32
        24.50          5.63         0.33        770.67
        24.60         31.86         0.80        744.45
        24.60          5.65         0.33        770.65
        24.70         31.73         0.80        744.57
        24.70          5.67         0.33        770.63
        24.80         31.60         0.80        744.70
        24.80          5.69         0.33        770.61
        24.90         31.47         0.80        744.83
        24.90          5.72         0.33        770.58
        25.00         31.35         0.80        744.96
        25.00          5.74         0.34        770.56
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        25.10         31.22         0.80        745.09
        25.10          5.76         0.34        770.54
        25.20         31.09         0.80        745.22
        25.20          5.79         0.34        770.51
        25.30         30.96         0.81        745.35
        25.30          5.81         0.34        770.49
        25.40         30.82         0.81        745.48
        25.40          5.84         0.34        770.46
        25.50         30.69         0.81        745.61
        25.50          5.86         0.35        770.44
        25.60         30.56         0.81        745.74
        25.60          5.89         0.35        770.41
        25.70         30.43         0.81        745.87
        25.70          5.91         0.35        770.39
        25.80         30.29         0.81        746.01
        25.80          5.94         0.35        770.36
        25.90         30.16         0.81        746.14
        25.90          5.96         0.35        770.34
        26.00         30.03         0.81        746.28
        26.00          5.99         0.36        770.31
        26.10         29.89         0.81        746.41
        26.10          6.02         0.36        770.28
        26.20         29.75         0.82        746.55
        26.20          6.05         0.36        770.26
        26.30         29.62         0.82        746.69
        26.30          6.07         0.36        770.23
        26.40         29.48         0.82        746.82
        26.40          6.10         0.36        770.20
        26.50         29.34         0.82        746.96
        26.50          6.13         0.37        770.17
        26.60         29.20         0.82        747.10
        26.60          6.16         0.37        770.14
        26.70         29.06         0.82        747.24
        26.70          6.19         0.37        770.11
        26.80         28.92         0.82        747.38
        26.80          6.22         0.37        770.08
        26.90         28.78         0.82        747.52
        26.90          6.25         0.38        770.05
        27.00         28.64         0.82        747.66
        27.00          6.28         0.38        770.02
        27.10         28.50         0.82        747.81
        27.10          6.31         0.38        769.99
        27.20         28.35         0.82        747.95
        27.20          6.34         0.38        769.96
        27.30         28.21         0.82        748.09
        27.30          6.37         0.38        769.93
        27.40         28.06         0.82        748.24
        27.40          6.41         0.39        769.89
        27.50         27.92         0.82        748.38
        27.50          6.44         0.39        769.86
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        27.60         27.77         0.82        748.53
        27.60          6.47         0.39        769.83
        27.70         27.62         0.83        748.68
        27.70          6.51         0.39        769.79
        27.80         27.48         0.83        748.83
        27.80          6.54         0.40        769.76
        27.90         27.33         0.83        748.97
        27.90          6.58         0.40        769.72
        28.00         27.18         0.83        749.12
        28.00          6.62         0.40        769.69
        28.10         27.03         0.83        749.28
        28.10          6.65         0.40        769.65
        28.20         26.87         0.83        749.43
        28.20          6.69         0.41        769.61
        28.30         26.72         0.83        749.58
        28.30          6.73         0.41        769.57
        28.40         26.57         0.83        749.73
        28.40          6.77         0.41        769.54
        28.50         26.41         0.83        749.89
        28.50          6.81         0.41        769.50
        28.60         26.26         0.83        750.04
        28.60          6.85         0.42        769.46
        28.70         26.10         0.83        750.20
        28.70          6.89         0.42        769.42
        28.80         25.94         0.83        750.36
        28.80          6.93         0.42        769.37
        28.90         25.79         0.83        750.52
        28.90          6.97         0.42        769.33
        29.00         25.63         0.83        750.67
        29.00          7.01         0.43        769.29
        29.10         25.47         0.83        750.84
        29.10          7.06         0.43        769.24
        29.20         25.30         0.83        751.00
        29.20          7.10         0.43        769.20
        29.30         25.14         0.83        751.16
        29.30          7.15         0.43        769.15
        29.40         24.98         0.83        751.32
        29.40          7.19         0.44        769.11
        29.50         24.81         0.83        751.49
        29.50          7.24         0.44        769.06
        29.60         24.65         0.83        751.66
        29.60          7.29         0.44        769.01
        29.70         24.48         0.83        751.82
        29.70          7.34         0.45        768.96
        29.80         24.31         0.83        751.99
        29.80          7.39         0.45        768.91
        29.90         24.14         0.83        752.16
        29.90          7.44         0.45        768.86
        30.00         23.97         0.82        752.33
        30.00          7.50         0.46        768.80
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        30.10         23.79         0.82        752.51
        30.10          7.55         0.46        768.75
        30.20         23.62         0.82        752.68
        30.20          7.61         0.46        768.69
        30.30         23.44         0.82        752.86
        30.30          7.66         0.46        768.64
        30.40         23.26         0.82        753.04
        30.40          7.72         0.47        768.58
        30.50         23.08         0.82        753.22
        30.50          7.78         0.47        768.52
        30.60         22.90         0.82        753.40
        30.60          7.84         0.47        768.46
        30.70         22.72         0.82        753.58
        30.70          7.91         0.48        768.39
        30.80         22.53         0.82        753.77
        30.80          7.97         0.48        768.33
        30.90         22.35         0.82        753.95
        30.90          8.04         0.48        768.26
        31.00         22.16         0.82        754.14
        31.00          8.11         0.49        768.20
        31.10         21.97         0.81        754.34
        31.10          8.18         0.49        768.12
        31.20         21.77         0.81        754.53
        31.20          8.25         0.49        768.05
        31.30         21.57         0.81        754.73
        31.30          8.32         0.50        767.98
        31.40         21.38         0.81        754.93
        31.40          8.40         0.50        767.90
        31.50         21.17         0.81        755.13
        31.50          8.48         0.51        767.82
        31.60         20.97         0.81        755.33
        31.60          8.56         0.51        767.74
        31.70         20.76         0.80        755.54
        31.70          8.65         0.51        767.65
        31.80         20.55         0.80        755.75
        31.80          8.74         0.52        767.56
        31.90         20.33         0.80        755.97
        31.90          8.83         0.52        767.47
        32.00         20.12         0.80        756.19
        32.00          8.93         0.53        767.38
        32.10         19.89         0.80        756.41
        32.10          9.03         0.53        767.28
        32.20         19.67         0.79        756.64
        32.20          9.13         0.54        767.17
        32.30         19.43         0.79        756.87
        32.30          9.24         0.54        767.06
        32.40         19.19         0.79        757.11
        32.40          9.35         0.55        766.95
        32.50         18.95         0.78        757.35
        32.50          9.47         0.55        766.83
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        32.60         18.70         0.78        757.60
        32.60          9.60         0.56        766.70
        32.70         18.44         0.78        757.86
        32.70          9.74         0.56        766.57
        32.80         18.17         0.77        758.13
        32.80          9.88         0.57        766.42
        32.90         17.89         0.77        758.41
        32.90         10.03         0.57        766.27
        33.00         17.60         0.77        758.70
        33.00         10.20         0.58        766.10
        33.10         17.30         0.76        759.00
        33.10         10.38         0.59        765.93
        33.20         16.98         0.76        759.32
        33.20         10.57         0.59        765.73
        33.30         16.63         0.75        759.67
        33.30         10.79         0.60        765.51
        33.40         16.26         0.74        760.04
        33.40         11.04         0.61        765.26
        33.50         15.85         0.74        760.45
        33.50         11.32         0.62        764.98
        33.60         15.37         0.73        760.93
        33.60         11.68         0.63        764.63
        33.70         14.77         0.71        761.53
        33.70         12.15         0.65        764.15
        33.80         13.54         0.68        762.76
        33.80         13.25         0.68        763.05
