1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        THLAB3      ELAB3      THLAB4      ELAB4

        25.40        321.37         0.61       7478.63
        25.50        320.75         0.61       7479.25
        25.60        320.12         0.61       7479.88
        25.70        319.49         0.61       7480.51
        25.80        318.86         0.62       7481.14
        25.90        318.23         0.62       7481.77
        26.00        317.60         0.62       7482.40
        26.10        316.97         0.62       7483.03
        26.20        316.33         0.62       7483.67
        26.30        315.69         0.62       7484.31
        26.40        315.06         0.62       7484.94
        26.50        314.42         0.63       7485.58
        26.60        313.78         0.63       7486.22
        26.70        313.14         0.63       7486.86
        26.80        312.49         0.63       7487.51
        26.90        311.85         0.63       7488.15
        27.00        311.20         0.63       7488.80
        27.10        310.56         0.63       7489.44
        27.20        309.91         0.64       7490.09
        27.30        309.26         0.64       7490.74
        27.40        308.61         0.64       7491.39
        27.50        307.96         0.64       7492.04
        27.60        307.31         0.64       7492.69
        27.70        306.65         0.64       7493.35
        27.80        306.00         0.64       7494.00
        27.90        305.34         0.64       7494.66
        28.00        304.68         0.65       7495.32
        28.10        304.03         0.65       7495.97
        28.20        303.37         0.65       7496.63
        28.30        302.70         0.65       7497.30
        28.40        302.04         0.65       7497.96
        28.50        301.38         0.65       7498.62
        28.60        300.72         0.65       7499.28
        28.70        300.05         0.65       7499.95
        28.80        299.38         0.66       7500.62
        28.90        298.72         0.66       7501.28
        29.00        298.05         0.66       7501.95
        29.10        297.38         0.66       7502.62
        29.20        296.71         0.66       7503.29
        29.30        296.04         0.66       7503.96
        29.40        295.36         0.66       7504.64
        29.50        294.69         0.66       7505.31
        29.60        294.02         0.67       7505.98
        29.70        293.34         0.67       7506.66
        29.80        292.66         0.67       7507.34
        29.90        291.99         0.67       7508.01
        30.00        291.31         0.67       7508.69
        30.10        290.63         0.67       7509.37
        30.20        289.95         0.67       7510.05
        30.30        289.27         0.67       7510.73
        30.40        288.59         0.67       7511.41
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        30.50        287.90         0.68       7512.10
        30.60        287.22         0.68       7512.78
        30.70        286.53         0.68       7513.47
        30.80        285.85         0.68       7514.15
        30.90        285.16         0.68       7514.84
        31.00        284.47         0.68       7515.53
        31.10        283.79         0.68       7516.21
        31.20        283.10         0.68       7516.90
        31.30        282.41         0.68       7517.59
        31.40        281.72         0.68       7518.28
        31.50        281.02         0.69       7518.98
        31.60        280.33         0.69       7519.67
        31.70        279.64         0.69       7520.36
        31.80        278.95         0.69       7521.05
        31.90        278.25         0.69       7521.75
        32.00        277.56         0.69       7522.44
        32.10        276.86         0.69       7523.14
        32.20        276.16         0.69       7523.84
        32.30        275.47         0.69       7524.53
        32.40        274.77         0.69       7525.23
        32.50        274.07         0.69       7525.93
        32.60        273.37         0.70       7526.63
        32.70        272.67         0.70       7527.33
        32.80        271.97         0.70       7528.03
        32.90        271.27         0.70       7528.73
        33.00        270.57         0.70       7529.43
        33.10        269.86         0.70       7530.14
        33.20        269.16         0.70       7530.84
        33.30        268.46         0.70       7531.54
        33.40        267.75         0.70       7532.25
        33.50        267.05         0.70       7532.95
        33.60        266.34         0.70       7533.66
        33.70        265.63         0.70       7534.37
        33.80        264.93         0.71       7535.07
        33.90        264.22         0.71       7535.78
        34.00        263.51         0.71       7536.49
        34.10        262.80         0.71       7537.20
        34.20        262.09         0.71       7537.91
        34.30        261.38         0.71       7538.62
        34.40        260.67         0.71       7539.33
        34.50        259.96         0.71       7540.04
        34.60        259.25         0.71       7540.75
        34.70        258.54         0.71       7541.46
        34.80        257.83         0.71       7542.17
        34.90        257.12         0.71       7542.88
        35.00        256.40         0.71       7543.60
        35.10        255.69         0.71       7544.31
        35.20        254.98         0.71       7545.02
        35.30        254.26         0.72       7545.74
        35.40        253.55         0.72       7546.45
        35.50        252.83         0.72       7547.17
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        35.60        252.12         0.72       7547.88
        35.70        251.40         0.72       7548.60
        35.80        250.69         0.72       7549.31
        35.90        249.97         0.72       7550.03
        36.00        249.26         0.72       7550.74
